"year","constructor_ref","driver_ref","team_driver_rank"
2007,"mclaren","alonso",1
2007,"mclaren","hamilton",2
2007,"renault","fisichella",1
2007,"renault","kovalainen",2
2008,"red_bull","coulthard",1
2008,"red_bull","webber",2
2009,"ferrari","massa",1
2009,"ferrari","raikkonen",2
2012,"toro_rosso","ricciardo",1
2012,"toro_rosso","vergne",2
2014,"red_bull","ricciardo",2
2014,"red_bull","vettel",1
2015,"mclaren","alonso",1
2015,"mclaren","button",2
2015,"red_bull","kvyat",2
2015,"red_bull","ricciardo",1
2016,"mercedes","hamilton",1
2016,"mercedes","rosberg",2
2016,"red_bull","kvyat",2
2016,"red_bull","max_verstappen",3
2017,"renault","hulkenberg",1
2017,"renault","jolyon_palmer",2
2017,"renault","sainz",3
2018,"haas","grosjean",1
2018,"haas","kevin_magnussen",2
2018,"red_bull","max_verstappen",2
2018,"red_bull","ricciardo",1
2019,"ferrari","leclerc",2
2019,"ferrari","vettel",1
2019,"haas","grosjean",1
2019,"haas","kevin_magnussen",2
2020,"ferrari","leclerc",2
2020,"ferrari","vettel",1
2021,"ferrari","leclerc",1
2021,"ferrari","sainz",2
2021,"mclaren","norris",2
2021,"mclaren","ricciardo",1
